.        .     % winrate [ .  / .   ] dt.rand dt.sdc  dt.ste  dt.stei dt.wpm_d dt.wpm_s dt.wpm_c xlogin42 xlogin00 template
dt.wpm_s 50.00 % winrate [ 30 / 60  ] 58.3/12 50.0/24 25.0/8  50.0/8  56.2/16  50.0/60  50.0/8   41.7/24  60.0/20  50.0/60 
dt.ste   40.38 % winrate [ 21 / 52  ] 33.3/12 60.0/20 40.4/52 31.2/16 37.5/16  25.0/8   50.0/16  37.5/8   25.0/8   40.4/52 
dt.stei  35.71 % winrate [ 20 / 56  ] 45.0/20 50.0/12 37.5/16 35.7/56 0.0/4    25.0/8   39.3/28  25.0/16  25.0/8   35.7/56 
template 32.50 % winrate [ 52 / 160 ] 42.3/52 29.7/64 26.9/52 26.8/56 43.8/48  26.7/60  28.8/52  41.7/48  29.2/48  32.5/160
dt.wpm_c 19.23 % winrate [ 10 / 52  ] 16.7/12 6.2/16  18.8/16 25.0/28 12.5/8   25.0/8   19.2/52  12.5/8   37.5/8   19.2/52 
dt.wpm_d 14.58 % winrate [ 7  / 48  ] 0.0/16  6.2/16  6.2/16  25.0/4  14.6/48  12.5/16  25.0/8   50.0/4   31.2/16  14.6/48 
dt.sdc   14.06 % winrate [ 9  / 64  ] 12.5/16 14.1/64 15.0/20 16.7/12 6.2/16   16.7/24  0.0/16   12.5/8   31.2/16  14.1/64 
dt.rand  9.62  % winrate [ 5  / 52  ] 9.6/52  12.5/16 8.3/12  0.0/20  12.5/16  0.0/12   8.3/12   16.7/12  50.0/4   9.6/52  
xlogin42 8.33  % winrate [ 4  / 48  ] 8.3/12  25.0/8  0.0/8   6.2/16  0.0/4    8.3/24   12.5/8   8.3/48   6.2/16   8.3/48  
xlogin00 4.17  % winrate [ 2  / 48  ] 0.0/4   0.0/16  12.5/8  12.5/8  6.2/16   0.0/20   0.0/8    6.2/16   4.2/48   4.2/48  

.        .     % winrate [ .  / .  ] dt.rand dt.sdc  dt.ste  dt.stei dt.wpm_d dt.wpm_s dt.wpm_c xlogin42 xlogin00 template
dt.ste   41.18 % winrate [ 28 / 68 ] 39.3/28 31.2/32 41.2/68 43.8/16 45.0/20  50.0/24  25.0/24  54.2/24  50.0/20  37.5/16 
dt.wpm_s 40.62 % winrate [ 26 / 64 ] 58.3/24 25.0/24 20.8/24 50.0/16 45.8/24  40.6/64  45.0/20  31.2/16  45.0/20  45.8/24 
dt.stei  36.67 % winrate [ 22 / 60 ] 37.5/32 25.0/20 37.5/16 36.7/60 37.5/24  25.0/16  32.1/28  50.0/12  43.8/16  50.0/16 
dt.wpm_c 31.25 % winrate [ 20 / 64 ] 20.0/20 34.4/32 41.7/24 28.6/28 25.0/8   25.0/20  31.2/64  25.0/24  40.0/20  37.5/16 
dt.sdc   27.78 % winrate [ 20 / 72 ] 50.0/12 27.8/72 28.1/32 20.0/20 20.0/20  16.7/24  31.2/32  32.1/28  45.0/20  17.9/28 
dt.wpm_d 26.67 % winrate [ 16 / 60 ] 25.0/20 45.0/20 15.0/20 20.8/24 26.7/60  25.0/24  37.5/8   35.0/20  20.0/20  25.0/24 
template 20.00 % winrate [ 12 / 60 ] 25.0/16 21.4/28 18.8/16 12.5/16 16.7/24  20.8/24  12.5/16  33.3/12  21.4/28  20.0/60 
xlogin42 17.19 % winrate [ 11 / 64 ] 25.0/24 17.9/28 8.3/24  16.7/12 15.0/20  6.2/16   12.5/24  17.2/64  21.9/32  33.3/12 
xlogin00 6.25  % winrate [ 4  / 64 ] 6.2/16  0.0/20  5.0/20  12.5/16 10.0/20  5.0/20   5.0/20   6.2/32   6.2/64   7.1/28  
dt.rand  1.56  % winrate [ 1  / 64 ] 1.6/64  0.0/12  3.6/28  0.0/32  0.0/20   0.0/24   5.0/20   4.2/24   0.0/16   0.0/16  
