.        .     % winrate [ .  / .   ] dt.rand dt.sdc  dt.ste  dt.stei dt.wpm_d dt.wpm_s dt.wpm_c xlogin42 xlogin00 template
template 43.00 % winrate [ 86 / 200 ] 52.8/72 27.9/68 40.6/64 40.6/64 44.4/72  43.8/64  45.3/64  44.1/68  46.9/64  43.0/200
dt.wpm_s 34.38 % winrate [ 22 / 64  ] 25.0/20 56.2/16 37.5/16 25.0/12 25.0/16  34.4/64  25.0/24  41.7/12  50.0/12  34.4/64 
dt.ste   29.69 % winrate [ 19 / 64  ] 35.0/20 30.0/20 29.7/64 75.0/4  25.0/16  25.0/16  25.0/8   29.2/24  25.0/20  29.7/64 
dt.stei  28.12 % winrate [ 18 / 64  ] 15.0/20 29.2/24 0.0/4   28.1/64 31.2/16  8.3/12   31.2/16  37.5/16  45.0/20  28.1/64 
dt.sdc   27.94 % winrate [ 19 / 68  ] 33.3/12 27.9/68 25.0/20 37.5/24 31.2/16  18.8/16  25.0/16  33.3/12  20.0/20  27.9/68 
dt.wpm_c 20.31 % winrate [ 13 / 64  ] 16.7/12 25.0/16 12.5/8  25.0/16 21.9/32  16.7/24  20.3/64  8.3/12   37.5/8   20.3/64 
dt.wpm_d 12.50 % winrate [ 9  / 72  ] 8.3/12  12.5/16 25.0/16 6.2/16  12.5/72  0.0/16   9.4/32   16.7/24  25.0/12  12.5/72 
xlogin42 8.82  % winrate [ 6  / 68  ] 16.7/24 8.3/12  8.3/24  0.0/16  12.5/24  8.3/12   8.3/12   8.8/68   0.0/12   8.8/68  
dt.rand  8.33  % winrate [ 6  / 72  ] 8.3/72  0.0/12  5.0/20  0.0/20  25.0/12  0.0/20   8.3/12   20.8/24  8.3/24   8.3/72  
xlogin00 3.12  % winrate [ 2  / 64  ] 8.3/24  5.0/20  0.0/20  0.0/20  0.0/12   8.3/12   0.0/8    0.0/12   3.1/64   3.1/64

best one yet  
